row,col,value
11,60,-3.00083185191e-13
11,61,-7.93480849494e-13
11,62,-3.19347875324e-13
11,63,-4.33034713046e-13
11,64,-2.05661037602e-13
11,65,0
12,1,-1.40325453057e-31
12,2,-4.90376305029e-13
12,3,0
12,4,8.14898115186e-15
12,5,3.63558054523e-14
12,6,-6.33126216395e-15
12,7,3.51745461667e-14
12,8,3.32702339946e-14
12,9,3.59414711202e-14
12,10,1.83822185042e-15
12,11,-1.75564012279e-14
12,12,4956.57394523493
12,13,-2.68155799042e-13
12,14,-1.66968607082e-14
12,15,-2.34496974445e-14
12,16,9.69899770135e-14
12,17,-1.49922731466e-13
12,18,-5.22239974962e-14
12,19,-1.62979623037e-14
12,20,7.69784416480e-14
12,21,1.24549569676e-13
12,22,-7.68549542263e-14
12,23,-1.96095024794e-14
12,24,8.71694404634e-14
12,25,3.33514049031e-13
12,26,-1.12919912768e-13
12,27,3.34554651272e-15
12,28,-1.64147882111e-13
12,29,1.69541845241e-13
12,30,2.92140630458e-30
12,31,-2.07167166080e-15
12,32,-3.44693649242e-14
12,33,-5.19212168150e-13
12,34,9.45123655916e-13
12,35,-9.45123655916e-13
12,36,-7.17749980472e-13
12,37,-1.17249733136e-12
12,38,-9.45123655916e-13
12,39,-9.45123655916e-13
12,40,-7.17749980472e-13
12,41,-1.17249733136e-12
12,42,-7.17749980472e-13
12,43,-7.17749980472e-13
12,44,-12526.8474808222
12,45,0
12,46,-4.90376305029e-13
12,47,-9.45123655916e-13
12,48,-1.17249733136e-12
12,49,-4.26915388007e-13
12,50,-7.17749980472e-13
12,51,-9.45123655916e-13
12,52,-9.45123655916e-13
12,53,-1.06337322114e-12
12,54,-7.17749980472e-13
12,55,-7.33984658811e-13
12,56,-1.17249733136e-12
12,57,-1.49880525053e-12
12,58,-7.17749980472e-13
12,59,-7.17749980472e-13
12,60,-7.17749980472e-13
12,61,-1.24326673980e-12
12,62,-9.45123655916e-13
12,63,-9.45123655916e-13
12,64,-7.17749980472e-13
12,65,0
13,1,1.16648166542e-15
13,2,3310.42903825202
13,3,0
13,4,-2.03474409877e-14
